Rank,Player,Nation,Position,Squad,Age,Weekly Wages,Annual Wages
434,Robin Roefs,nl NED,GK,Sunderland,22,"£ 30,000 (€ 34,610, $40,307)","£ 1,560,000 (€ 1,799,723, $2,095,969)"
443,Angus Gunn,sct SCO,GK,Nottingham Forest,29,"£ 30,000 (€ 34,610, $40,307)","£ 1,560,000 (€ 1,799,723, $2,095,969)"
444,Benjamin Lecomte,fr FRA,GK,Fulham,34,"£ 30,000 (€ 34,610, $40,307)","£ 1,560,000 (€ 1,799,723, $2,095,969)"
461,Freddie Woodman,eng ENG,GK,Liverpool,28,"£ 25,000 (€ 28,842, $33,589)","£ 1,300,000 (€ 1,499,769, $1,746,641)"
471,Max Weiß,de GER,GK,Burnley,21,"£ 25,000 (€ 28,842, $33,589)","£ 1,300,000 (€ 1,499,769, $1,746,641)"
481,Mark Travers,ie IRL,GK,Everton,26,"£ 25,000 (€ 28,842, $33,589)","£ 1,300,000 (€ 1,499,769, $1,746,641)"
490,Daniel Bentley,eng ENG,GK,Wolves,32,"£ 20,000 (€ 23,073, $26,871)","£ 1,040,000 (€ 1,199,816, $1,397,312)"
492,Anthony Patterson,eng ENG,GK,Sunderland,25,"£ 20,000 (€ 23,073, $26,871)","£ 1,040,000 (€ 1,199,816, $1,397,312)"
501,Jason Steele,eng ENG,GK,Brighton,34,"£ 20,000 (€ 23,073, $26,871)","£ 1,040,000 (€ 1,199,816, $1,397,312)"
511,Brandon Austin,eng ENG,GK,Tottenham Hotspur,26,"£ 15,000 (€ 17,305, $20,154)","£ 780,000 (€ 899,862, $1,047,984)"
520,Wes Foderingham,eng ENG,GK,West Ham United,34,"£ 15,000 (€ 17,305, $20,154)","£ 780,000 (€ 899,862, $1,047,984)"
527,Blondy Nna Noukeu,,GK,Sunderland,23,"£ 15,000 (€ 17,305, $20,154)","£ 780,000 (€ 899,862, $1,047,984)"
529,Simon Moore,eng ENG,GK,Sunderland,35,"£ 15,000 (€ 17,305, $20,154)","£ 780,000 (€ 899,862, $1,047,984)"
533,John Ruddy,eng ENG,GK,Newcastle United,38,"£ 15,000 (€ 17,305, $20,154)","£ 780,000 (€ 899,862, $1,047,984)"
534,Mark Gillespie,eng ENG,GK,Newcastle United,33,"£ 15,000 (€ 17,305, $20,154)","£ 780,000 (€ 899,862, $1,047,984)"
538,Tom McGill,eng ENG,GK,Brighton,25,"£ 15,000 (€ 17,305, $20,154)","£ 780,000 (€ 899,862, $1,047,984)"
539,Tom King,wls WAL,GK,Everton,30,"£ 15,000 (€ 17,305, $20,154)","£ 780,000 (€ 899,862, $1,047,984)"
542,Christos Mandas,gr GRE,GK,Bournemouth,23,"£ 12,500 (€ 14,481, $17,104)","£ 650,000 (€ 753,006, $889,392)"
545,Remi Matthews,eng ENG,GK,Crystal Palace,31,"£ 12,500 (€ 14,421, $16,795)","£ 650,000 (€ 749,885, $873,320)"
548,Callan Mckenna,sct SCO,GK,Bournemouth,18,"£ 12,000 (€ 13,844, $16,123)","£ 624,000 (€ 719,889, $838,387)"
549,Václav Hladký,cz CZE,GK,Burnley,34,"£ 12,000 (€ 13,844, $16,123)","£ 624,000 (€ 719,889, $838,387)"
551,Melker Ellborg,,GK,Sunderland,22,"£ 10,000 (€ 11,585, $13,683)","£ 520,000 (€ 602,405, $711,513)"
556,Alex Cairns,eng ENG,GK,Leeds United,33,"£ 10,000 (€ 11,537, $13,436)","£ 520,000 (€ 599,908, $698,656)"
567,Ellery Balcombe,eng ENG,GK,Brentford,25,"£ 10,000 (€ 11,537, $13,436)","£ 520,000 (€ 599,908, $698,656)"
568,Hákon Valdimarsson,is ISL,GK,Brentford,23,"£ 10,000 (€ 11,537, $13,436)","£ 520,000 (€ 599,908, $698,656)"
575,Will Dennis,eng ENG,GK,Bournemouth,25,"£ 8,000 (€ 9,229, $10,749)","£ 416,000 (€ 479,926, $558,925)"
585,Julian Eyestone,us USA,GK,Brentford,19,"£ 8,000 (€ 9,229, $10,749)","£ 416,000 (€ 479,926, $558,925)"
592,Matthew Cox,eng ENG,GK,Brentford,22,"£ 7,000 (€ 8,076, $9,405)","£ 364,000 (€ 419,935, $489,059)"
600,Joe Whitworth,,GK,Crystal Palace,21,"£ 5,000 (€ 5,768, $6,718)","£ 260,000 (€ 299,954, $349,328)"
604,Joe Gauci,au AUS,GK,Aston Villa,24,"£ 5,000 (€ 5,768, $6,718)","£ 260,000 (€ 299,954, $349,328)"
628,Teddy Sharman-Lowe,,GK,Chelsea,22,"£ 3,000 (€ 3,461, $4,031)","£ 156,000 (€ 179,972, $209,597)"
641,Harvey Davies,eng ENG,GK,Liverpool,22,"£ 2,000 (€ 2,307, $2,687)","£ 104,000 (€ 119,982, $139,731)"
649,Radek Vítek,,GK,Manchester Utd,21,"£ 1,500 (€ 1,731, $2,015)","£ 78,000 (€ 89,986, $104,798)"
656,Harry Tyrer,eng ENG,GK,Everton,23,"£ 1,500 (€ 1,731, $2,015)","£ 78,000 (€ 89,986, $104,798)"
659,Elyh Harrison,,GK,Manchester Utd,19,"£ 1,000 (€ 1,154, $1,344)","£ 52,000 (€ 59,991, $69,866)"
663,Owen Goodman,ca CAN,GK,Crystal Palace,21,"£ 1,000 (€ 1,154, $1,344)","£ 52,000 (€ 59,991, $69,866)"
